,year,month,day,RMM1,RMM2,phase,amplitude
92,1974,9,1,-0.74307,-0.32226,1,0.809941
93,1974,9,2,-0.7570100000000001,-0.34913,1,0.8336389999999999
94,1974,9,3,-0.85425,-0.47043,1,0.9752209999999999
95,1974,9,4,-0.9462200000000001,-0.57048,1,1.10489
96,1974,9,5,-0.95005,-0.76164,1,1.21766
97,1974,9,6,-0.96431,-1.19541,2,1.53587
98,1974,9,7,-0.8286100000000001,-1.49167,2,1.7063599999999999
99,1974,9,8,-0.8084,-1.29056,2,1.52284
100,1974,9,9,-0.65212,-1.09195,2,1.27185
101,1974,9,10,-0.41313,-1.10617,2,1.18079
102,1974,9,11,-0.56989,-1.01692,2,1.16572
103,1974,9,12,-0.7249800000000001,-0.7690100000000001,2,1.05687
104,1974,9,13,-0.84693,-0.41613999999999995,1,0.9436389999999999
105,1974,9,14,-0.8763,-0.19989,1,0.898806
106,1974,9,15,-0.8084,-0.26515,1,0.850773
107,1974,9,16,-0.78055,-0.43065,1,0.8914719999999999
108,1974,9,17,-1.06102,-0.49926000000000004,1,1.17262
109,1974,9,18,-1.1999,-0.3435,1,1.2481
110,1974,9,19,-1.12629,-0.41894,1,1.2016799999999999
111,1974,9,20,-0.84606,-0.40851,1,0.939522
112,1974,9,21,-0.81789,-0.54576,1,0.983259
113,1974,9,22,-0.6741,-0.6326,1,0.924444
114,1974,9,23,-0.62136,-0.52232,1,0.8117300000000001
115,1974,9,24,-0.38978,-0.43151999999999996,2,0.581496
116,1974,9,25,-0.3881,-0.36067,1,0.529816
117,1974,9,26,-0.29288000000000003,-0.23269,1,0.374062
118,1974,9,27,-0.064655602,-0.21548,2,0.22496999999999998
119,1974,9,28,0.082109697,-0.39265,3,0.40114099999999997
120,1974,9,29,0.353144,-0.7287,3,0.809758
121,1974,9,30,0.55558,-0.88555,3,1.0454
122,1974,10,1,0.578932,-0.90974,3,1.07833
123,1974,10,2,0.758947,-0.95044,3,1.21628
124,1974,10,3,0.896649,-0.5804199999999999,4,1.0681200000000002
125,1974,10,4,0.6735760000000001,-0.38633,4,0.776501
126,1974,10,5,0.6321359999999999,-0.10522000000000001,4,0.640834
127,1974,10,6,0.5166689999999999,0.184193,5,0.54852
128,1974,10,7,0.8391790000000001,0.459325,5,0.9566620000000001
129,1974,10,8,1.03393,0.36872,5,1.09771
130,1974,10,9,1.2691700000000001,0.21624899999999997,5,1.28746
131,1974,10,10,1.51384,0.196864,5,1.52659
132,1974,10,11,1.6412900000000001,0.054135099000000006,5,1.64218
133,1974,10,12,1.58476,-0.083649099,4,1.58697
134,1974,10,13,1.46195,-0.20847,4,1.47674
135,1974,10,14,1.24914,-0.19397,4,1.26411
136,1974,10,15,1.03918,-0.21719000000000002,4,1.0616299999999999
137,1974,10,16,1.06576,-0.050491601,4,1.06695
138,1974,10,17,1.17822,0.174274,5,1.1910399999999999
139,1974,10,18,1.20346,0.392461,5,1.26583
140,1974,10,19,1.2457200000000002,0.5358689999999999,5,1.35608
141,1974,10,20,1.28298,0.639329,5,1.43345
142,1974,10,21,1.284,0.7306020000000001,5,1.4773100000000001
143,1974,10,22,1.1614200000000001,0.790281,5,1.40479
144,1974,10,23,0.900816,0.653291,5,1.11277
145,1974,10,24,0.462304,0.518927,6,0.6949890000000001
146,1974,10,25,0.080772497,0.5628449999999999,6,0.568612
147,1974,10,26,-0.1288,0.312778,7,0.33826
148,1974,10,27,-0.17057999999999998,-0.13217,1,0.21579299999999998
149,1974,10,28,-0.064556703,-0.41755,2,0.422512
150,1974,10,29,0.0150871,-0.23621,3,0.236693
151,1974,10,30,0.23195,-0.055858899000000004,4,0.238581
152,1974,10,31,0.505103,0.0259395,5,0.5057689999999999
153,1974,11,1,0.5276850000000001,0.17588099999999998,5,0.5562239999999999
154,1974,11,2,0.327812,0.435784,6,0.545315
155,1974,11,3,0.298643,0.705654,6,0.7662479999999999
156,1974,11,4,0.45746000000000003,0.5500470000000001,6,0.715417
157,1974,11,5,0.45928,0.49216099999999996,6,0.673171
158,1974,11,6,0.45422299999999993,0.44553999999999994,5,0.636258
159,1974,11,7,0.663801,0.5764229999999999,5,0.8791450000000001
160,1974,11,8,0.392785,0.44639799999999996,6,0.5946020000000001
161,1974,11,9,0.246518,0.716225,6,0.757462
162,1974,11,10,-0.14855,0.802527,7,0.81616
163,1974,11,11,-0.67469,0.7813939999999999,7,1.03237
164,1974,11,12,-0.8612,0.7377090000000001,8,1.13396
165,1974,11,13,-0.7744300000000001,0.753206,8,1.0803
166,1974,11,14,-0.57188,0.673928,7,0.883871
167,1974,11,15,-0.48441000000000006,0.351381,8,0.59843
168,1974,11,16,-0.4953,0.28008,8,0.569008
169,1974,11,17,-0.47928999999999994,0.561447,7,0.738204
170,1974,11,18,-0.39283,0.784813,7,0.8776379999999999
171,1974,11,19,-0.39277,0.848571,7,0.93506
172,1974,11,20,-0.32886,0.8956940000000001,7,0.9541569999999999
173,1974,11,21,-0.17398,0.754785,7,0.7745770000000001
174,1974,11,22,0.312823,0.643428,6,0.715443
175,1974,11,23,0.862785,0.618138,5,1.06136
176,1974,11,24,0.853498,0.405564,5,0.9449549999999999
177,1974,11,25,0.970875,0.384895,5,1.04439
178,1974,11,26,0.812642,0.6718850000000001,5,1.05443
179,1974,11,27,0.704199,0.841643,6,1.0973899999999999
180,1974,11,28,0.43421800000000005,0.969357,6,1.06217
181,1974,11,29,0.0203644,1.03585,6,1.03605
182,1974,11,30,-0.30756,1.13932,7,1.18011
183,1974,12,1,-0.72602,0.9686440000000001,7,1.2105299999999999
184,1974,12,2,-0.85041,0.89089,7,1.2316200000000002
185,1974,12,3,-0.95916,0.709599,8,1.1931200000000002
186,1974,12,4,-0.8838799999999999,0.202692,8,0.9068219999999999
187,1974,12,5,-0.67119,-0.33344,1,0.749452
188,1974,12,6,-0.40798,-0.6329899999999999,2,0.753073
189,1974,12,7,-0.09816720300000001,-0.47084,2,0.480969
190,1974,12,8,-0.19568,-0.18716,1,0.27077399999999996
191,1974,12,9,-0.047670402,-0.034988299,1,0.059132400999999994
192,1974,12,10,0.09095250099999999,-0.0115461,4,0.091682397
193,1974,12,11,0.280418,0.193603,5,0.34075900000000003
194,1974,12,12,-0.086175703,0.41711099999999995,7,0.42591999999999997
195,1974,12,13,-0.24369000000000002,0.46976999999999997,7,0.529213
196,1974,12,14,-0.28283,0.204587,8,0.349069
197,1974,12,15,-0.3937,0.35828499999999996,8,0.532325
198,1974,12,16,-0.5705899999999999,0.597007,7,0.8258270000000001
199,1974,12,17,-0.48233000000000004,0.698561,7,0.848902
200,1974,12,18,-0.36357,0.715667,7,0.802722
201,1974,12,19,-0.5021399999999999,0.673064,7,0.839736
202,1974,12,20,-0.9475299999999999,0.735162,8,1.19928
203,1974,12,21,-1.2667899999999999,0.49437299999999995,8,1.35984
204,1974,12,22,-1.49286,0.410409,8,1.54825
205,1974,12,23,-1.41895,-0.18106,1,1.43045
206,1974,12,24,-1.43763,-0.36104,1,1.48227
207,1974,12,25,-1.35058,-0.54888,1,1.45786
208,1974,12,26,-1.08541,-0.8604799999999999,1,1.3851200000000001
209,1974,12,27,-0.72743,-1.0169,2,1.25029
210,1974,12,28,-0.4958,-0.72926,2,0.8818389999999999
211,1974,12,29,-0.26331,-0.5342600000000001,2,0.5956229999999999
212,1974,12,30,0.0771432,-0.71887,3,0.723001
213,1974,12,31,0.187789,-1.07114,3,1.08748
214,1975,1,1,0.349933,-1.02217,3,1.08041
215,1975,1,2,0.401935,-1.21842,3,1.28301
216,1975,1,3,0.545325,-1.0697,3,1.20068
217,1975,1,4,0.240114,-1.05894,3,1.0858299999999999
218,1975,1,5,0.21039899999999997,-1.01378,3,1.03538
219,1975,1,6,0.42651000000000006,-1.13214,3,1.2098200000000001
220,1975,1,7,0.863893,-1.11867,3,1.41341
221,1975,1,8,1.09816,-0.67985,4,1.29157
222,1975,1,9,1.39965,-0.18225999999999998,4,1.41147
223,1975,1,10,1.38129,0.05679750099999999,5,1.38245
224,1975,1,11,1.42846,0.182018,5,1.44001
225,1975,1,12,1.19234,0.47753599999999996,5,1.28441
226,1975,1,13,0.704045,0.7096279999999999,6,0.999625
227,1975,1,14,0.49998000000000004,1.20179,6,1.30165
