dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 08:00:00,94846,20150801,8,11,SCT090 SCT150, ,10.0, , , ,78, ,25.6, ,65, ,18.4, ,57, ,13.9, ,49, ,11, ,300, , , ,29.26, , , , , ,29.96, ,AA, , , ,29.98, ,8,2015-08-01 08:00:00,2015-08-01
2015-08-02 08:00:00,94846,20150802,8,11,FEW040 FEW150 FEW350, ,10.0, , , ,82, ,27.8, ,68, ,20.0, ,60, ,15.6, ,47, ,21, ,240, ,29, ,29.1, , , , , ,29.80, ,AA, , , ,29.82, ,8,2015-08-02 08:00:00,2015-08-02
2015-08-03 08:00:00,94846,20150803,8,11,FEW060 FEW150, ,10.0, , , ,75, ,23.9, ,64, ,17.8, ,57, ,13.9, ,54, ,13, ,340, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, ,8,2015-08-03 08:00:00,2015-08-03
2015-08-04 08:00:00,94846,20150804,8,11,BKN250, ,10.0, , , ,76, ,24.4, ,63, ,17.1, ,54, ,12.2, ,47, ,10, ,260, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,8,2015-08-04 08:00:00,2015-08-04
2015-08-05 08:00:00,94846,20150805,8,11,FEW050 BKN250, ,10.0, , , ,78, ,25.6, ,63, ,17.3, ,53, ,11.7, ,42, ,0, ,000, , , ,29.34, , , , , ,30.05, ,AA, , , ,30.06, ,8,2015-08-05 08:00:00,2015-08-05
2015-08-06 08:00:00,94846,20150806,8,11,FEW025 SCT250, ,10.0, , , ,76, ,24.4, ,68, ,19.8, ,63, ,17.2, ,64, ,9, ,070, , , ,29.25, , , , , ,29.95, ,AA, , , ,29.97, ,8,2015-08-06 08:00:00,2015-08-06
2015-08-07 08:00:00,94846,20150807,8,11,FEW038 FEW250, ,10.0, , , ,75, ,23.9, ,65, ,18.4, ,59, ,15.0, ,58, ,10, ,210, , , ,29.22, , , , , ,29.92, ,AA, , , ,29.94, ,8,2015-08-07 08:00:00,2015-08-07
2015-08-08 08:00:00,94846,20150808,8,11,FEW030 FEW120 BKN250, ,10.0, , , ,78, ,25.6, ,70, ,21.1, ,66, ,18.9, ,67, ,7, ,270, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,8,2015-08-08 08:00:00,2015-08-08
2015-08-09 08:00:00,94846,20150809,8,11,SCT100 BKN120 OVC250, ,3.0, ,BR, ,71, ,21.7, ,68, ,20.2, ,67, ,19.4, ,87, ,6, ,160, , , ,29.27, , , , , ,29.98, ,AA, , , ,29.99, ,8,2015-08-09 08:00:00,2015-08-09
2015-08-10 08:00:00,94846,20150810,8,11,SCT017 BKN026 BKN055, ,9.0, , , ,76, ,24.4, ,71, ,21.5, ,68, ,20.0, ,76, ,7, ,350, , , ,29.16, , , , , ,M, ,SP, , , ,29.88, ,8,2015-08-10 08:00:00,2015-08-10
2015-08-10 08:00:00,94846,20150810,8,11,FEW017 BKN028 BKN150, ,10.0, , , ,78, ,25.6, ,71, ,21.8, ,68, ,20.0, ,71, ,6, ,VR , , , ,29.16, , , , , ,29.87, ,AA, , , ,29.88, ,8,2015-08-10 08:00:00,2015-08-10
2015-08-11 08:00:00,94846,20150811,8,11,FEW024 SCT250, ,10.0, , , ,76, ,24.4, ,67, ,19.5, ,62, ,16.7, ,62, ,8, ,010, , , ,29.33, , , , , ,30.04, ,AA, , , ,30.05, ,8,2015-08-11 08:00:00,2015-08-11
2015-08-12 08:00:00,94846,20150812,8,11,SCT026, ,10.0, , , ,72, ,22.2, ,65, ,18.1, ,60, ,15.6, ,66, ,5, ,020, , , ,29.47, , , , , ,30.18, ,AA, , , ,30.19, ,8,2015-08-12 08:00:00,2015-08-12
2015-08-13 08:00:00,94846,20150813,8,11,FEW180 BKN300, ,10.0, , , ,78, ,25.6, ,67, ,19.6, ,61, ,16.1, ,56, ,13, ,240, , , ,29.39, , , , , ,30.10, ,AA, , , ,30.11, ,8,2015-08-13 08:00:00,2015-08-13
2015-08-14 08:00:00,94846,20150814,8,11,FEW100 SCT140 OVC170, ,10.0, , , ,76, ,24.4, ,71, ,21.5, ,68, ,20.0, ,76, ,10, ,280, , , ,29.39, , , , , ,30.11, ,AA, , , ,30.12, ,8,2015-08-14 08:00:00,2015-08-14
2015-08-15 08:00:00,94846,20150815,8,11,FEW047CB FEW060 SCT150, ,10.0, , , ,79, ,26.1, ,71, ,21.7, ,67, ,19.4, ,67, ,7, ,240, , , ,29.41, , , , , ,30.13, ,AA, , , ,30.14, ,8,2015-08-15 08:00:00,2015-08-15
2015-08-16 08:00:00,94846,20150816,8,11,FEW040 FEW250, ,10.0, , , ,82, ,27.8, ,74, ,23.5, ,71, ,21.7, ,69, ,7, ,210, , , ,29.39, , , , , ,30.10, ,AA, , , ,30.11, ,8,2015-08-16 08:00:00,2015-08-16
2015-08-17 08:00:00,94846,20150817,8,11,FEW040, ,10.0, , , ,82, ,27.8, ,73, ,22.5, ,68, ,20.0, ,63, ,8, ,220, , , ,29.32, , , , , ,30.02, ,AA, , , ,30.04, ,8,2015-08-17 08:00:00,2015-08-17
2015-08-18 08:00:00,94846,20150818,8,11,SCT017, ,10.0, , , ,74, ,23.3, ,69, ,20.7, ,67, ,19.4, ,79, ,8, ,200, , , ,29.15, , , , , ,29.86, ,AA, , , ,29.87, ,8,2015-08-18 08:00:00,2015-08-18
2015-08-19 08:00:00,94846,20150819,8,11,FEW014 BKN019 BKN030, ,10.0, , , ,71, ,21.7, ,65, ,18.5, ,62, ,16.7, ,73, ,11, ,230, ,21, ,28.96, , , , , ,29.66, ,AA, , , ,29.68, ,8,2015-08-19 08:00:00,2015-08-19
2015-08-20 08:00:00,94846,20150820,8,11,BKN024 BKN036, ,10.0, , , ,63, ,17.2, ,57, ,13.8, ,52, ,11.1, ,68, ,16, ,270, ,26, ,29.11, , , , , ,29.82, ,AA, , , ,29.83, ,8,2015-08-20 08:00:00,2015-08-20
2015-08-21 08:00:00,94846,20150821,8,11,FEW060, ,10.0, , , ,74, ,23.3, ,61, ,16.2, ,52, ,11.1, ,46, ,10, ,190, , , ,29.38, , , , , ,30.09, ,AA, , , ,30.1, ,8,2015-08-21 08:00:00,2015-08-21
2015-08-22 08:00:00,94846,20150822,8,11,FEW250, ,10.0, , , ,76, ,24.4, ,64, ,17.7, ,56, ,13.3, ,50, ,11, ,170, , , ,29.39, , , , , ,30.11, ,AA, , , ,30.12, ,8,2015-08-22 08:00:00,2015-08-22
2015-08-23 08:00:00,94846,20150823,8,11,OVC010, ,7.0, , , ,71, ,21.7, ,68, ,20.2, ,67, ,19.4, ,87, ,13, ,240, ,22, ,29.13, , , , , ,29.83, ,AA, , , ,29.85, ,8,2015-08-23 08:00:00,2015-08-23
2015-08-24 08:00:00,94846,20150824,8,11,CLR, ,10.0, , , ,65, ,18.3, ,56, ,13.4, ,49, ,9.4, ,56, ,15, ,270, , , ,29.23, , , , , ,29.94, ,AA, , , ,29.95, ,8,2015-08-24 08:00:00,2015-08-24
2015-08-25 08:00:00,94846,20150825,8,11,OVC030, ,10.0, , , ,61, ,16.1, ,55, ,12.5, ,49, ,9.4, ,65, ,11, ,290, , , ,29.3, , , , , ,30.02, ,AA, , , ,30.02, ,8,2015-08-25 08:00:00,2015-08-25
2015-08-26 08:00:00,94846,20150826,8,11,FEW019 OVC030, ,10.0, , , ,62, ,16.7, ,57, ,13.8, ,53, ,11.7, ,73, ,8, ,350, , , ,29.44, , , , , ,30.16, ,AA, , , ,30.17, ,8,2015-08-26 08:00:00,2015-08-26
2015-08-27 08:00:00,94846,20150827,8,11,SCT031, ,10.0, , , ,65, ,18.3, ,58, ,14.2, ,52, ,11.1, ,63, ,5, ,120, , , ,29.47, , , , , ,30.20, ,AA, , , ,30.2, ,8,2015-08-27 08:00:00,2015-08-27
2015-08-28 08:00:00,94846,20150828,8,11,BKN180 OVC250, ,10.0, , , ,70, ,21.1, ,63, ,17.4, ,59, ,15.0, ,68, ,6, ,210, , , ,29.42, , , , , ,30.14, ,AA, , , ,30.15, ,8,2015-08-28 08:00:00,2015-08-28
2015-08-29 08:00:00,94846,20150829,8,11,SCT049 OVC080, ,6.0, ,BR, ,65, ,18.3, ,64, ,17.6, ,63, ,17.2, ,93, ,9, ,100, , , ,29.31, , , , , ,30.02, ,AA, ,0.01, ,30.03, ,8,2015-08-29 08:00:00,2015-08-29
2015-08-30 08:00:00,94846,20150830,8,11,FEW009 OVC025, ,5.0, ,BR, ,68, ,20.0, ,66, ,18.6, ,64, ,17.8, ,87, ,7, ,020, , , ,29.36, , , , , ,M, ,SP, , , ,30.08, ,8,2015-08-30 08:00:00,2015-08-30
2015-08-30 08:00:00,94846,20150830,8,11,FEW009 OVC025, ,5.0, ,HZ, ,69, ,20.6, ,66, ,18.8, ,64, ,17.8, ,84, ,7, ,030, , , ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,8,2015-08-30 08:00:00,2015-08-30
2015-08-31 08:00:00,94846,20150831,8,11,FEW032, ,5.0, ,BR, ,70, ,21.1, ,67, ,19.6, ,66, ,18.9, ,87, ,0, ,000, , , ,29.35, , , , , ,M, ,SP, , , ,30.07, ,8,2015-08-31 08:00:00,2015-08-31
2015-08-31 08:00:00,94846,20150831,8,11,CLR, ,8.0, , , ,74, ,23.3, ,69, ,20.4, ,66, ,18.9, ,76, ,0, ,000, , , ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,8,2015-08-31 08:00:00,2015-08-31
