dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 11:00:00,94846,20150801,11,11,FEW060 FEW090 SCT130, ,10.0, , , ,83, ,28.3, ,66, ,18.7, ,55, ,12.8, ,38, ,14, ,280, , , ,29.25, , , , , ,29.95, ,AA, , , ,29.97, ,11,2015-08-01 11:00:00,2015-08-01
2015-08-02 11:00:00,94846,20150802,11,11,FEW060 FEW150 SCT250, ,10.0, , , ,89, ,31.7, ,72, ,22.0, ,63, ,17.2, ,42, ,14, ,240, ,31, ,29.06, , , , , ,29.76, ,AA, , , ,29.78, ,11,2015-08-02 11:00:00,2015-08-02
2015-08-03 11:00:00,94846,20150803,11,11,FEW055, ,10.0, , , ,80, ,26.7, ,62, ,16.6, ,49, ,9.4, ,34, ,14, ,280, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, ,11,2015-08-03 11:00:00,2015-08-03
2015-08-04 11:00:00,94846,20150804,11,11,FEW060 BKN250, ,10.0, , , ,79, ,26.1, ,63, ,17.2, ,52, ,11.1, ,39, ,11, ,290, , , ,29.25, , , , , ,29.95, ,AA, , , ,29.97, ,11,2015-08-04 11:00:00,2015-08-04
2015-08-05 11:00:00,94846,20150805,11,11,SCT065 SCT170 BKN250, ,10.0, , , ,80, ,26.7, ,64, ,17.9, ,54, ,12.2, ,41, ,13, ,100, , , ,29.32, , , , , ,30.02, ,AA, , , ,30.04, ,11,2015-08-05 11:00:00,2015-08-05
2015-08-06 11:00:00,94846,20150806,11,11,SCT042 SCT250, ,10.0, , , ,82, ,27.8, ,68, ,19.7, ,59, ,15.0, ,46, ,9, ,050, , , ,29.25, , , , , ,29.95, ,AA, , , ,29.97, ,11,2015-08-06 11:00:00,2015-08-06
2015-08-07 11:00:00,94846,20150807,11,11,FEW047 SCT170 BKN250, ,10.0, , , ,80, ,26.7, ,66, ,19.0, ,58, ,14.4, ,47, ,9, ,200, , , ,29.18, , , , , ,29.89, ,AA, , , ,29.9, ,11,2015-08-07 11:00:00,2015-08-07
2015-08-08 11:00:00,94846,20150808,11,11,FEW030 SCT150 BKN200, ,10.0, , , ,79, ,26.1, ,70, ,21.0, ,65, ,18.3, ,62, ,9, ,330, , , ,29.21, , , , , ,29.91, ,AA, , , ,29.93, ,11,2015-08-08 11:00:00,2015-08-08
2015-08-09 11:00:00,94846,20150809,11,11,BKN032 BKN080 OVC120, ,5.0, ,-DZ, ,74, ,23.3, ,69, ,20.7, ,67, ,19.4, ,79, ,6, ,170, , , ,29.25, , , , , ,M, ,SP, , , ,29.97, ,11,2015-08-09 11:00:00,2015-08-09
2015-08-09 11:00:00,94846,20150809,11,11,FEW050 BKN070 BKN250, ,7.0, , , ,77, ,25.0, ,70, ,21.0, ,66, ,18.9, ,69, ,6, ,150, , , ,29.23, , , , , ,29.94, ,AA, ,  T, ,29.95, ,11,2015-08-09 11:00:00,2015-08-09
2015-08-10 11:00:00,94846,20150810,11,11,SCT037 BKN070 OVC140, ,10.0, , , ,81, ,27.2, ,71, ,21.7, ,66, ,18.9, ,60, ,8, ,300, , , ,29.13, , , , , ,29.83, ,AA, ,  T, ,29.85, ,11,2015-08-10 11:00:00,2015-08-10
2015-08-11 11:00:00,94846,20150811,11,11,SCT045 BKN085, ,10.0, , , ,81, ,27.2, ,68, ,20.1, ,61, ,16.1, ,51, ,9, ,070, , , ,29.34, , , , , ,30.04, ,AA, , , ,30.06, ,11,2015-08-11 11:00:00,2015-08-11
2015-08-12 11:00:00,94846,20150812,11,11,SCT039 BKN050, ,10.0, , , ,76, ,24.4, ,66, ,18.6, ,59, ,15.0, ,56, ,7, ,020, , , ,29.44, , , , , ,30.15, ,AA, , , ,30.16, ,11,2015-08-12 11:00:00,2015-08-12
2015-08-13 11:00:00,94846,20150813,11,11,SCT160 BKN300, ,10.0, , , ,84, ,28.9, ,69, ,20.6, ,61, ,16.1, ,46, ,20, ,250, ,24, ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,11,2015-08-13 11:00:00,2015-08-13
2015-08-14 11:00:00,94846,20150814,11,11,BKN160, ,10.0, , , ,84, ,28.9, ,74, ,23.2, ,69, ,20.6, ,61, ,10, ,240, , , ,29.38, , , , , ,30.09, ,AA, , , ,30.1, ,11,2015-08-14 11:00:00,2015-08-14
2015-08-15 11:00:00,94846,20150815,11,11,SCT045, ,10.0, , , ,87, ,30.6, ,76, ,24.7, ,72, ,22.2, ,61, ,7, ,260, , , ,29.39, , , , , ,30.09, ,AA, , , ,30.11, ,11,2015-08-15 11:00:00,2015-08-15
2015-08-16 11:00:00,94846,20150816,11,11,SCT044 SCT055, ,10.0, , , ,87, ,30.6, ,73, ,23.0, ,67, ,19.4, ,52, ,7, ,240, , , ,29.37, , , , , ,30.07, ,AA, , , ,30.09, ,11,2015-08-16 11:00:00,2015-08-16
2015-08-17 11:00:00,94846,20150817,11,11,SCT041 SCT050 BKN150, ,10.0, , , ,85, ,29.4, ,72, ,22.3, ,66, ,18.9, ,53, ,7, ,220, , , ,29.28, , , , , ,29.98, ,AA, , , ,30.0, ,11,2015-08-17 11:00:00,2015-08-17
2015-08-18 11:00:00,94846,20150818,11,11,SCT026 BKN250, ,10.0, , , ,79, ,26.0, ,70, ,21.3, ,66, ,19.0, ,65, ,6, ,210, , , ,29.12, , , , , ,M, ,SP, , , ,29.84, ,11,2015-08-18 11:00:00,2015-08-18
2015-08-18 11:00:00,94846,20150818,11,11,SCT026 BKN250, ,10.0, , , ,77, ,25.0, ,70, ,21.0, ,66, ,18.9, ,69, ,6, ,190, , , ,29.11, , , , , ,29.82, ,AA, , , ,29.83, ,11,2015-08-18 11:00:00,2015-08-18
2015-08-19 11:00:00,94846,20150819,11,11,FEW040 FEW250, ,10.0, , , ,74, ,23.3, ,64, ,17.6, ,57, ,13.9, ,56, ,14, ,240, ,24, ,29.0, , , , , ,29.71, ,AA, , , ,29.72, ,11,2015-08-19 11:00:00,2015-08-19
2015-08-20 11:00:00,94846,20150820,11,11,BKN042, ,10.0, , , ,68, ,20.0, ,58, ,14.6, ,51, ,10.6, ,55, ,18, ,270, ,28, ,29.15, , , , , ,29.86, ,AA, , , ,29.87, ,11,2015-08-20 11:00:00,2015-08-20
2015-08-21 11:00:00,94846,20150821,11,11,FEW060, ,10.0, , , ,80, ,26.7, ,65, ,18.5, ,56, ,13.3, ,44, ,10, ,200, , , ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,11,2015-08-21 11:00:00,2015-08-21
2015-08-22 11:00:00,94846,20150822,11,11,BKN250, ,10.0, , , ,80, ,26.7, ,65, ,18.2, ,55, ,12.8, ,42, ,16, ,170, , , ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,11,2015-08-22 11:00:00,2015-08-22
2015-08-23 11:00:00,94846,20150823,11,11,FEW015 SCT033 SCT090, ,10.0, , , ,72, ,22.2, ,65, ,18.1, ,60, ,15.6, ,66, ,15, ,250, ,22, ,29.13, , , , , ,M, ,SP, , , ,29.85, ,11,2015-08-23 11:00:00,2015-08-23
2015-08-23 11:00:00,94846,20150823,11,11,FEW035 FEW090, ,10.0, , , ,74, ,23.3, ,63, ,17.0, ,55, ,12.8, ,52, ,17, ,260, ,25, ,29.12, , , , , ,29.83, ,AA, , , ,29.84, ,11,2015-08-23 11:00:00,2015-08-23
2015-08-24 11:00:00,94846,20150824,11,11,SCT055, ,10.0, , , ,73, ,22.8, ,58, ,14.4, ,46, ,7.8, ,38, ,22, ,270, ,31, ,29.19, , , , , ,29.90, ,AA, , , ,29.91, ,11,2015-08-24 11:00:00,2015-08-24
2015-08-25 11:00:00,94846,20150825,11,11,OVC030, ,10.0, , , ,65, ,18.3, ,57, ,13.7, ,50, ,10.0, ,59, ,14, ,320, , , ,29.31, , , , , ,M, ,SP, , , ,30.03, ,11,2015-08-25 11:00:00,2015-08-25
2015-08-25 11:00:00,94846,20150825,11,11,BKN031, ,10.0, , , ,66, ,18.9, ,57, ,13.9, ,50, ,10.0, ,57, ,7, ,270, , , ,29.31, , , , , ,30.03, ,AA, , , ,30.03, ,11,2015-08-25 11:00:00,2015-08-25
2015-08-26 11:00:00,94846,20150826,11,11,OVC029, ,10.0, , , ,64, ,17.8, ,57, ,13.7, ,51, ,10.6, ,63, ,7, ,360, , , ,29.44, , , , , ,30.16, ,AA, , , ,30.17, ,11,2015-08-26 11:00:00,2015-08-26
