dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 21:00:00,94846,20150801,21,11,CLR, ,10.0, , , ,76, ,24.4, ,68, ,20.1, ,64, ,17.8, ,67, ,8, ,250, , , ,29.17, , , , , ,29.88, ,AA, , , ,29.89, ,21,2015-08-01 21:00:00,2015-08-01
2015-08-02 21:00:00,94846,20150802,21,11,FEW025CB SCT060, ,10.0, , , ,83, ,28.3, ,75, ,24.0, ,72, ,22.2, ,70, ,16, ,220, ,23, ,28.95, , , , , ,M, ,SP, , , ,29.66, ,21,2015-08-02 21:00:00,2015-08-02
2015-08-02 21:00:00,94846,20150802,21,11,FEW025CB SCT041, ,10.0, , , ,73, ,23.0, ,67, ,19.5, ,64, ,18.0, ,74, ,22, ,010, ,32, ,28.97, , , , , ,M, ,SP, , , ,29.69, ,21,2015-08-02 21:00:00,2015-08-02
2015-08-02 21:00:00,94846,20150802,21,11,SCT027CB OVC095, ,2.0, ,TSRA, ,69, ,20.6, ,67, ,19.4, ,66, ,18.9, ,90, ,13, ,360, ,36, ,28.99, , , , , ,29.69, ,AA, ,0.31, ,29.71, ,21,2015-08-02 21:00:00,2015-08-02
2015-08-02 21:00:00,94846,20150802,21,11,SCT016 SCT027CB OVC095, ,1.0, ,+TSRA, ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, ,93, ,11, ,350, ,36, ,28.99, , , , , ,M, ,SP, , , ,29.71, ,21,2015-08-02 21:00:00,2015-08-02
2015-08-03 21:00:00,94846,20150803,21,11,CLR, ,10.0, , , ,69, ,20.6, ,61, ,16.0, ,55, ,12.8, ,61, ,6, ,260, , , ,29.18, , , , , ,29.89, ,AA, , , ,29.9, ,21,2015-08-03 21:00:00,2015-08-03
2015-08-04 21:00:00,94846,20150804,21,11,SCT250, ,10.0, , , ,68, ,20.0, ,61, ,16.3, ,57, ,13.9, ,68, ,5, ,140, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, ,21,2015-08-04 21:00:00,2015-08-04
2015-08-05 21:00:00,94846,20150805,21,11,OVC300, ,10.0, , , ,70, ,21.1, ,66, ,19.0, ,64, ,17.8, ,81, ,8, ,050, , , ,29.29, , , , , ,29.99, ,AA, , , ,30.01, ,21,2015-08-05 21:00:00,2015-08-05
2015-08-06 21:00:00,94846,20150806,21,11,SCT150 BKN220, ,10.0, , , ,71, ,21.7, ,65, ,18.5, ,62, ,16.7, ,73, ,6, ,090, , , ,29.21, , , , , ,29.91, ,AA, , , ,29.93, ,21,2015-08-06 21:00:00,2015-08-06
2015-08-07 21:00:00,94846,20150807,21,11,BKN045 BKN055 OVC110, ,10.0, , , ,75, ,23.9, ,66, ,18.7, ,60, ,15.6, ,60, ,8, ,190, , , ,29.15, , , , , ,29.85, ,AA, , , ,29.87, ,21,2015-08-07 21:00:00,2015-08-07
2015-08-08 21:00:00,94846,20150808,21,11,FEW008 BKN140, ,6.0, ,BR, ,69, ,20.6, ,67, ,19.4, ,66, ,18.9, ,90, ,3, ,050, , , ,29.26, , , , , ,M, ,SP, , , ,29.98, ,21,2015-08-08 21:00:00,2015-08-08
2015-08-08 21:00:00,94846,20150808,21,11,SCT008 BKN140, ,7.0, , , ,68, ,20.0, ,66, ,18.9, ,65, ,18.3, ,90, ,5, ,020, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,21,2015-08-08 21:00:00,2015-08-08
2015-08-09 21:00:00,94846,20150809,21,11,OVC060, ,9.0, , , ,74, ,23.3, ,70, ,21.1, ,68, ,20.0, ,82, ,3, ,200, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,21,2015-08-09 21:00:00,2015-08-09
2015-08-10 21:00:00,94846,20150810,21,11,FEW050 SCT250, ,10.0, , , ,70, ,21.1, ,67, ,19.3, ,65, ,18.3, ,84, ,5, ,310, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,21,2015-08-10 21:00:00,2015-08-10
2015-08-11 21:00:00,94846,20150811,21,11,CLR, ,10.0, , , ,70, ,21.1, ,60, ,15.6, ,53, ,11.7, ,55, ,0, ,000, , , ,29.38, , , , , ,30.09, ,AA, , , ,30.1, ,21,2015-08-11 21:00:00,2015-08-11
2015-08-12 21:00:00,94846,20150812,21,11,CLR, ,10.0, , , ,69, ,20.6, ,64, ,17.5, ,60, ,15.6, ,73, ,8, ,190, , , ,29.39, , , , , ,30.10, ,AA, , , ,30.11, ,21,2015-08-12 21:00:00,2015-08-12
2015-08-13 21:00:00,94846,20150813,21,11,BKN065 BKN080, ,10.0, , , ,76, ,24.4, ,69, ,20.4, ,65, ,18.3, ,69, ,8, ,230, ,16, ,29.34, , , , , ,30.05, ,AA, , , ,30.06, ,21,2015-08-13 21:00:00,2015-08-13
2015-08-14 21:00:00,94846,20150814,21,11,FEW090CB OVC120, ,10.0, ,-TSRA, ,70, ,21.1, ,66, ,18.6, ,63, ,17.2, ,79, ,13, ,180, , , ,29.34, , , , , ,30.05, ,AA, ,0.11, ,30.06, ,21,2015-08-14 21:00:00,2015-08-14
2015-08-15 21:00:00,94846,20150815,21,11,CLR, ,10.0, , , ,75, ,23.9, ,72, ,22.0, ,70, ,21.1, ,85, ,6, ,210, , , ,29.37, , , , , ,30.08, ,AA, , , ,30.09, ,21,2015-08-15 21:00:00,2015-08-15
2015-08-16 21:00:00,94846,20150816,21,11,CLR, ,10.0, , , ,78, ,25.6, ,71, ,21.5, ,67, ,19.4, ,69, ,5, ,230, , , ,29.34, , , , , ,30.04, ,AA, , , ,30.06, ,21,2015-08-16 21:00:00,2015-08-16
2015-08-17 21:00:00,94846,20150817,21,11,FEW028 BKN065 OVC100, ,10.0, ,-RA, ,69, ,20.6, ,68, ,19.8, ,67, ,19.4, ,93, ,9, ,170, , , ,29.26, , , , , ,M, ,SP, , , ,29.98, ,21,2015-08-17 21:00:00,2015-08-17
2015-08-17 21:00:00,94846,20150817,21,11,FEW090 BKN110 OVC130, ,10.0, ,-RA, ,69, ,20.6, ,68, ,20.1, ,68, ,20.0, ,97, ,8, ,130, , , ,29.24, , , , , ,29.95, ,AA, ,0.02, ,29.96, ,21,2015-08-17 21:00:00,2015-08-17
2015-08-18 21:00:00,94846,20150818,21,11,FEW007 BKN047 OVC080, ,10.0, ,-RA, ,70, ,21.0, ,67, ,19.6, ,66, ,19.0, ,87, ,14, ,170, , , ,28.99, , , , , ,M, ,SP, , , ,29.71, ,21,2015-08-18 21:00:00,2015-08-18
2015-08-18 21:00:00,94846,20150818,21,11,FEW007 BKN047 OVC080, ,10.0, ,-RA, ,69, ,20.6, ,68, ,19.8, ,67, ,19.4, ,93, ,13, ,170, , , ,28.99, , , , , ,29.70, ,AA, ,  T, ,29.71, ,21,2015-08-18 21:00:00,2015-08-18
2015-08-19 21:00:00,94846,20150819,21,11,FEW040 FEW095 SCT110, ,10.0, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, ,75, ,14, ,240, ,18, ,29.03, , , , , ,29.74, ,AA, ,  T, ,29.75, ,21,2015-08-19 21:00:00,2015-08-19
2015-08-20 21:00:00,94846,20150820,21,11,CLR, ,10.0, , , ,63, ,17.2, ,56, ,13.5, ,51, ,10.6, ,65, ,5, ,250, , , ,29.28, , , , , ,29.99, ,AA, , , ,30.0, ,21,2015-08-20 21:00:00,2015-08-20
2015-08-21 21:00:00,94846,20150821,21,11,CLR, ,10.0, , , ,70, ,21.1, ,64, ,17.7, ,60, ,15.6, ,71, ,9, ,180, , , ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,21,2015-08-21 21:00:00,2015-08-21
2015-08-22 21:00:00,94846,20150822,21,11,BKN048 BKN120 BKN250, ,10.0, , , ,69, ,20.6, ,62, ,16.8, ,58, ,14.4, ,68, ,5, ,170, , , ,29.29, , , , , ,30.00, ,AA, , , ,30.01, ,21,2015-08-22 21:00:00,2015-08-22
2015-08-23 21:00:00,94846,20150823,21,11,FEW055, ,10.0, , , ,64, ,17.8, ,57, ,13.7, ,51, ,10.6, ,63, ,8, ,260, , , ,29.21, , , , , ,29.92, ,AA, , , ,29.93, ,21,2015-08-23 21:00:00,2015-08-23
