dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 16:00:00,94846,20150801,16,11,SCT060 BKN250, ,10.0, , , ,84, ,28.9, ,69, ,20.3, ,60, ,15.6, ,44, ,18, ,270, ,24, ,29.18, , , , , ,29.88, ,AA, , , ,29.9, ,16,2015-08-01 16:00:00,2015-08-01
2015-08-02 16:00:00,94846,20150802,16,11,FEW045 FEW250, ,10.0, , , ,89, ,31.7, ,75, ,23.9, ,69, ,20.6, ,52, ,16, ,230, ,32, ,28.93, , , , , ,29.63, ,AA, , , ,29.65, ,16,2015-08-02 16:00:00,2015-08-02
2015-08-03 16:00:00,94846,20150803,16,11,FEW070, ,10.0, , , ,79, ,26.1, ,62, ,16.4, ,49, ,9.4, ,35, ,14, ,270, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, ,16,2015-08-03 16:00:00,2015-08-03
2015-08-04 16:00:00,94846,20150804,16,11,FEW065 BKN250, ,10.0, , , ,80, ,26.7, ,63, ,17.1, ,51, ,10.6, ,37, ,8, ,310, , , ,29.22, , , , , ,29.93, ,AA, , , ,29.94, ,16,2015-08-04 16:00:00,2015-08-04
2015-08-05 16:00:00,94846,20150805,16,11,FEW065 SCT200 OVC250, ,10.0, , , ,78, ,25.6, ,63, ,17.3, ,53, ,11.7, ,42, ,11, ,080, , , ,29.29, , , , , ,30.00, ,AA, , , ,30.01, ,16,2015-08-05 16:00:00,2015-08-05
2015-08-06 16:00:00,94846,20150806,16,11,FEW050 SCT250, ,10.0, , , ,80, ,26.7, ,65, ,18.5, ,56, ,13.3, ,44, ,9, ,070, , , ,29.2, , , , , ,29.90, ,AA, , , ,29.92, ,16,2015-08-06 16:00:00,2015-08-06
2015-08-07 16:00:00,94846,20150807,16,11,BKN055 BKN075 BKN200, ,10.0, , , ,80, ,26.7, ,66, ,18.7, ,57, ,13.9, ,45, ,10, ,220, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, ,16,2015-08-07 16:00:00,2015-08-07
2015-08-08 16:00:00,94846,20150808,16,11,FEW035 OVC150, ,10.0, , , ,75, ,23.9, ,68, ,19.9, ,64, ,17.8, ,69, ,7, ,360, , , ,29.23, , , , , ,29.93, ,AA, , , ,29.95, ,16,2015-08-08 16:00:00,2015-08-08
2015-08-09 16:00:00,94846,20150809,16,11,FEW030 SCT045 BKN060, ,10.0, , , ,77, ,25.0, ,69, ,20.6, ,65, ,18.3, ,67, ,10, ,180, , , ,29.21, , , , , ,29.91, ,AA, ,  T, ,29.93, ,16,2015-08-09 16:00:00,2015-08-09
2015-08-10 16:00:00,94846,20150810,16,11,FEW050 SCT120 BKN140, ,10.0, , , ,74, ,23.3, ,70, ,21.1, ,68, ,20.0, ,82, ,9, ,330, , , ,29.14, , , , , ,29.84, ,AA, ,  T, ,29.86, ,16,2015-08-10 16:00:00,2015-08-10
2015-08-11 16:00:00,94846,20150811,16,11,FEW040 FEW090, ,10.0, , , ,76, ,24.4, ,63, ,17.4, ,55, ,12.8, ,48, ,10, ,040, , , ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,16,2015-08-11 16:00:00,2015-08-11
2015-08-12 16:00:00,94846,20150812,16,11,FEW046, ,10.0, , , ,80, ,26.7, ,65, ,18.5, ,56, ,13.3, ,44, ,7, ,VR , , , ,29.39, , , , , ,30.10, ,AA, , , ,30.11, ,16,2015-08-12 16:00:00,2015-08-12
