dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 10:00:00,94846,20150801,10,11,SCT080 SCT150, ,10.0, , , ,82, ,27.8, ,65, ,18.6, ,55, ,12.8, ,40, ,11, ,310, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, ,10,2015-08-01 10:00:00,2015-08-01
2015-08-02 10:00:00,94846,20150802,10,11,FEW060 FEW350, ,10.0, , , ,88, ,31.1, ,71, ,21.9, ,63, ,17.2, ,43, ,20, ,230, ,30, ,29.07, , , , , ,29.77, ,AA, , , ,29.79, ,10,2015-08-02 10:00:00,2015-08-02
2015-08-03 10:00:00,94846,20150803,10,11,FEW050, ,10.0, , , ,79, ,26.1, ,64, ,17.7, ,54, ,12.2, ,42, ,11, ,310, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, ,10,2015-08-03 10:00:00,2015-08-03
2015-08-04 10:00:00,94846,20150804,10,11,FEW060 BKN250, ,10.0, , , ,79, ,26.1, ,62, ,16.7, ,50, ,10.0, ,36, ,11, ,280, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,10,2015-08-04 10:00:00,2015-08-04
2015-08-05 10:00:00,94846,20150805,10,11,SCT065 BKN250, ,10.0, , , ,81, ,27.2, ,64, ,17.6, ,52, ,11.1, ,37, ,7, ,040, , , ,29.32, , , , , ,30.03, ,AA, , , ,30.04, ,10,2015-08-05 10:00:00,2015-08-05
2015-08-06 10:00:00,94846,20150806,10,11,SCT043 BKN250, ,10.0, , , ,80, ,26.7, ,67, ,19.6, ,60, ,15.6, ,51, ,8, ,090, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,10,2015-08-06 10:00:00,2015-08-06
2015-08-07 10:00:00,94846,20150807,10,11,FEW045 SCT150 BKN250, ,10.0, , , ,79, ,26.1, ,67, ,19.1, ,59, ,15.0, ,50, ,8, ,190, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,10,2015-08-07 10:00:00,2015-08-07
2015-08-08 10:00:00,94846,20150808,10,11,SCT035 BKN200 OVC250, ,10.0, , , ,80, ,26.7, ,70, ,20.8, ,64, ,17.8, ,58, ,13, ,320, , , ,29.21, , , , , ,29.92, ,AA, , , ,29.93, ,10,2015-08-08 10:00:00,2015-08-08
2015-08-09 10:00:00,94846,20150809,10,11,FEW032 BKN080 OVC120, ,4.0, ,HZ, ,74, ,23.3, ,69, ,20.7, ,67, ,19.4, ,79, ,6, ,170, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,10,2015-08-09 10:00:00,2015-08-09
2015-08-10 10:00:00,94846,20150810,10,11,SCT033TCU BKN080 BKN200, ,10.0, , , ,84, ,28.9, ,72, ,22.2, ,66, ,18.9, ,55, ,3, ,020, , , ,29.15, , , , , ,29.85, ,AA, , , ,29.87, ,10,2015-08-10 10:00:00,2015-08-10
2015-08-11 10:00:00,94846,20150811,10,11,FEW044 BKN065, ,10.0, , , ,80, ,26.7, ,67, ,19.3, ,59, ,15.0, ,49, ,8, ,350, , , ,29.34, , , , , ,30.04, ,AA, , , ,30.06, ,10,2015-08-11 10:00:00,2015-08-11
2015-08-12 10:00:00,94846,20150812,10,11,BKN041 BKN055, ,10.0, , , ,76, ,24.4, ,64, ,18.0, ,57, ,13.9, ,52, ,5, ,080, , , ,29.44, , , , , ,30.16, ,AA, , , ,30.17, ,10,2015-08-12 10:00:00,2015-08-12
2015-08-13 10:00:00,94846,20150813,10,11,FEW160 SCT300, ,10.0, , , ,81, ,27.2, ,68, ,19.8, ,60, ,15.6, ,49, ,14, ,240, ,20, ,29.37, , , , , ,30.08, ,AA, , , ,30.09, ,10,2015-08-13 10:00:00,2015-08-13
2015-08-14 10:00:00,94846,20150814,10,11,BKN140 BKN180, ,10.0, , , ,81, ,27.2, ,74, ,23.0, ,70, ,21.1, ,69, ,13, ,250, , , ,29.39, , , , , ,30.10, ,AA, , , ,30.12, ,10,2015-08-14 10:00:00,2015-08-14
2015-08-15 10:00:00,94846,20150815,10,11,FEW045, ,10.0, , , ,84, ,28.9, ,74, ,23.5, ,70, ,21.1, ,63, ,5, ,VR , , , ,29.39, , , , , ,30.10, ,AA, , , ,30.12, ,10,2015-08-15 10:00:00,2015-08-15
2015-08-16 10:00:00,94846,20150816,10,11,BKN037 BKN049, ,10.0, , , ,85, ,29.4, ,74, ,23.3, ,69, ,20.6, ,59, ,8, ,240, , , ,29.39, , , , , ,30.09, ,AA, , , ,30.11, ,10,2015-08-16 10:00:00,2015-08-16
2015-08-17 10:00:00,94846,20150817,10,11,SCT033 BKN041 BKN050, ,10.0, , , ,85, ,29.4, ,73, ,22.7, ,67, ,19.4, ,55, ,11, ,250, , , ,29.3, , , , , ,30.01, ,AA, , , ,30.02, ,10,2015-08-17 10:00:00,2015-08-17
2015-08-18 10:00:00,94846,20150818,10,11,BKN024, ,10.0, , , ,75, ,23.9, ,70, ,20.9, ,67, ,19.4, ,76, ,6, ,220, , , ,29.14, , , , , ,M, ,SP, , , ,29.86, ,10,2015-08-18 10:00:00,2015-08-18
2015-08-18 10:00:00,94846,20150818,10,11,BKN024 BKN250, ,10.0, , , ,75, ,23.9, ,69, ,20.6, ,66, ,18.9, ,74, ,10, ,210, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, ,10,2015-08-18 10:00:00,2015-08-18
