dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 17:00:00,94846,20150801,17,11,SCT055 BKN250, ,10.0, , , ,83, ,28.3, ,69, ,20.4, ,61, ,16.1, ,48, ,16, ,240, ,21, ,29.17, , , , , ,29.87, ,AA, , , ,29.89, ,17,2015-08-01 17:00:00,2015-08-01
2015-08-02 17:00:00,94846,20150802,17,11,SCT045 BKN250, ,10.0, , , ,87, ,30.6, ,75, ,24.0, ,70, ,21.1, ,57, ,20, ,240, ,36, ,28.95, , , , , ,29.65, ,AA, , , ,29.66, ,17,2015-08-02 17:00:00,2015-08-02
2015-08-03 17:00:00,94846,20150803,17,11,FEW070, ,10.0, , , ,78, ,25.6, ,62, ,16.5, ,50, ,10.0, ,38, ,14, ,280, ,21, ,29.14, , , , , ,29.84, ,AA, , , ,29.86, ,17,2015-08-03 17:00:00,2015-08-03
2015-08-04 17:00:00,94846,20150804,17,11,FEW065 BKN250, ,10.0, , , ,77, ,25.0, ,63, ,17.3, ,54, ,12.0, ,45, ,13, ,360, , , ,29.22, , , , , ,M, ,SP, , , ,29.94, ,17,2015-08-04 17:00:00,2015-08-04
2015-08-04 17:00:00,94846,20150804,17,11,FEW065 BKN250, ,10.0, , , ,77, ,25.0, ,63, ,17.1, ,53, ,11.7, ,43, ,13, ,360, , , ,29.22, , , , , ,29.93, ,AA, , , ,29.94, ,17,2015-08-04 17:00:00,2015-08-04
2015-08-05 17:00:00,94846,20150805,17,11,FEW065 SCT200 OVC250, ,10.0, , , ,76, ,24.4, ,63, ,17.4, ,55, ,12.8, ,48, ,9, ,080, , , ,29.28, , , , , ,29.99, ,AA, , , ,30.0, ,17,2015-08-05 17:00:00,2015-08-05
2015-08-06 17:00:00,94846,20150806,17,11,FEW050 SCT250, ,10.0, , , ,77, ,25.0, ,65, ,18.2, ,57, ,13.9, ,50, ,10, ,070, , , ,29.18, , , , , ,29.89, ,AA, , , ,29.9, ,17,2015-08-06 17:00:00,2015-08-06
2015-08-07 17:00:00,94846,20150807,17,11,BKN055 BKN090 BKN200, ,10.0, , , ,79, ,26.1, ,66, ,18.8, ,58, ,14.4, ,49, ,9, ,200, , , ,29.13, , , , , ,29.84, ,AA, , , ,29.85, ,17,2015-08-07 17:00:00,2015-08-07
2015-08-08 17:00:00,94846,20150808,17,11,FEW035 OVC140, ,10.0, , , ,75, ,23.9, ,69, ,20.3, ,65, ,18.3, ,71, ,7, ,030, , , ,29.23, , , , , ,29.93, ,AA, , , ,29.95, ,17,2015-08-08 17:00:00,2015-08-08
2015-08-09 17:00:00,94846,20150809,17,11,FEW030 BKN045 OVC060, ,10.0, , , ,77, ,25.0, ,70, ,21.0, ,66, ,18.9, ,69, ,5, ,200, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,17,2015-08-09 17:00:00,2015-08-09
