dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 13:00:00,94846,20150801,13,11,SCT065 SCT250, ,10.0, , , ,86, ,30.0, ,67, ,19.6, ,56, ,13.3, ,36, ,16, ,290, ,22, ,29.21, , , , , ,29.91, ,AA, , , ,29.93, ,13,2015-08-01 13:00:00,2015-08-01
2015-08-02 13:00:00,94846,20150802,13,11,FEW050CB SCT070, ,10.0, , , ,88, ,31.1, ,74, ,23.1, ,67, ,19.4, ,50, ,20, ,230, ,28, ,29.02, , , , , ,M, ,SP, , , ,29.74, ,13,2015-08-02 13:00:00,2015-08-02
2015-08-02 13:00:00,94846,20150802,13,11,SCT050CB SCT070, ,2.0, , , ,80, ,26.7, ,74, ,23.2, ,71, ,21.7, ,74, ,18, ,250, ,52, ,29.04, , , , , ,M, ,SP, , , ,29.76, ,13,2015-08-02 13:00:00,2015-08-02
2015-08-02 13:00:00,94846,20150802,13,11,FEW012 SCT050CB, ,5.0, , , ,75, ,24.0, ,72, ,22.0, ,70, ,21.0, ,85, ,14, ,240, ,52, ,29.03, , , , , ,M, ,SP, , , ,29.75, ,13,2015-08-02 13:00:00,2015-08-02
2015-08-02 13:00:00,94846,20150802,13,11,FEW012 SCT050CB, ,10.0, ,-TSRA, ,78, ,25.6, ,72, ,22.2, ,69, ,20.6, ,74, ,11, ,240, ,36, ,29.03, , , , , ,29.73, ,AA, ,0.12, ,29.75, ,13,2015-08-02 13:00:00,2015-08-02
2015-08-03 13:00:00,94846,20150803,13,11,FEW075, ,10.0, , , ,81, ,27.2, ,61, ,16.3, ,47, ,8.3, ,30, ,13, ,290, ,24, ,29.13, , , , , ,29.83, ,AA, , , ,29.85, ,13,2015-08-03 13:00:00,2015-08-03
2015-08-04 13:00:00,94846,20150804,13,11,FEW060 BKN250, ,10.0, , , ,81, ,27.2, ,63, ,17.3, ,51, ,10.6, ,35, ,15, ,300, ,22, ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,13,2015-08-04 13:00:00,2015-08-04
2015-08-05 13:00:00,94846,20150805,13,11,SCT065 BKN250, ,10.0, , , ,81, ,27.2, ,65, ,18.1, ,54, ,12.2, ,39, ,10, ,060, ,17, ,29.31, , , , , ,30.02, ,AA, , , ,30.03, ,13,2015-08-05 13:00:00,2015-08-05
2015-08-06 13:00:00,94846,20150806,13,11,SCT050 SCT250, ,10.0, , , ,82, ,27.8, ,66, ,18.8, ,56, ,13.3, ,41, ,10, ,050, , , ,29.21, , , , , ,29.92, ,AA, , , ,29.93, ,13,2015-08-06 13:00:00,2015-08-06
2015-08-07 13:00:00,94846,20150807,13,11,FEW050 SCT100 SCT130, ,10.0, , , ,81, ,27.2, ,66, ,18.6, ,56, ,13.3, ,42, ,14, ,190, ,23, ,29.15, , , , , ,29.86, ,AA, , , ,29.87, ,13,2015-08-07 13:00:00,2015-08-07
2015-08-08 13:00:00,94846,20150808,13,11,FEW032 SCT160 BKN190, ,10.0, , , ,78, ,25.6, ,69, ,20.5, ,64, ,17.8, ,62, ,10, ,340, , , ,29.23, , , , , ,29.93, ,AA, , , ,29.95, ,13,2015-08-08 13:00:00,2015-08-08
2015-08-09 13:00:00,94846,20150809,13,11,FEW034 BKN045 BKN150, ,10.0, , , ,79, ,26.1, ,69, ,20.7, ,64, ,17.8, ,60, ,6, ,240, , , ,29.22, , , , , ,29.93, ,AA, , , ,29.94, ,13,2015-08-09 13:00:00,2015-08-09
2015-08-10 13:00:00,94846,20150810,13,11,SCT048 BKN120 BKN200, ,10.0, , , ,83, ,28.3, ,72, ,22.3, ,67, ,19.4, ,59, ,7, ,310, , , ,29.13, , , , , ,29.83, ,AA, ,  T, ,29.85, ,13,2015-08-10 13:00:00,2015-08-10
2015-08-11 13:00:00,94846,20150811,13,11,FEW040 BKN090, ,10.0, , , ,76, ,24.4, ,67, ,19.5, ,62, ,16.7, ,62, ,13, ,050, , , ,29.35, , , , , ,30.06, ,AA, , , ,30.07, ,13,2015-08-11 13:00:00,2015-08-11
2015-08-12 13:00:00,94846,20150812,13,11,SCT039, ,10.0, , , ,79, ,26.1, ,67, ,19.4, ,60, ,15.6, ,52, ,6, ,VR , , , ,29.41, , , , , ,30.13, ,AA, , , ,30.14, ,13,2015-08-12 13:00:00,2015-08-12
2015-08-13 13:00:00,94846,20150813,13,11,BKN150 BKN300, ,10.0, , , ,83, ,28.3, ,68, ,20.2, ,60, ,15.6, ,46, ,17, ,250, ,26, ,29.35, , , , , ,30.06, ,AA, , , ,30.07, ,13,2015-08-13 13:00:00,2015-08-13
2015-08-14 13:00:00,94846,20150814,13,11,BKN170, ,10.0, , , ,88, ,31.1, ,74, ,23.1, ,67, ,19.4, ,50, ,9, ,260, , , ,29.36, , , , , ,30.06, ,AA, , , ,30.08, ,13,2015-08-14 13:00:00,2015-08-14
2015-08-15 13:00:00,94846,20150815,13,11,SCT039CB SCT060 BKN250, ,10.0, , , ,90, ,32.2, ,75, ,24.1, ,69, ,20.6, ,50, ,3, ,290, , , ,29.34, , , , , ,30.04, ,AA, , , ,30.06, ,13,2015-08-15 13:00:00,2015-08-15
2015-08-16 13:00:00,94846,20150816,13,11,SCT047, ,10.0, , , ,88, ,31.1, ,74, ,23.1, ,67, ,19.4, ,50, ,13, ,220, ,20, ,29.34, , , , , ,30.04, ,AA, , , ,30.06, ,13,2015-08-16 13:00:00,2015-08-16
2015-08-17 13:00:00,94846,20150817,13,11,SCT040 BKN055 BKN110, ,10.0, , , ,85, ,29.4, ,72, ,22.0, ,65, ,18.3, ,51, ,6, ,240, , , ,29.24, , , , , ,29.94, ,AA, , , ,29.96, ,13,2015-08-17 13:00:00,2015-08-17
2015-08-18 13:00:00,94846,20150818,13,11,SCT036 BKN045 BKN250, ,10.0, , , ,81, ,27.2, ,72, ,22.0, ,67, ,19.4, ,63, ,9, ,200, , , ,29.07, , , , , ,29.78, ,AA, , , ,29.79, ,13,2015-08-18 13:00:00,2015-08-18
