dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 02:00:00,94846,20150801,2,11,CLR, ,10.0, , , ,66, ,18.9, ,59, ,14.7, ,53, ,11.7, ,63, ,7, ,280, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, ,2,2015-08-01 02:00:00,2015-08-01
2015-08-02 02:00:00,94846,20150802,2,11,FEW130, ,10.0, , , ,72, ,22.2, ,69, ,20.4, ,67, ,19.4, ,84, ,10, ,240, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, ,2,2015-08-02 02:00:00,2015-08-02
2015-08-03 02:00:00,94846,20150803,2,11,FEW060, ,10.0, , , ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, ,93, ,7, ,290, , , ,29.04, , , , , ,29.74, ,AA, , , ,29.76, ,2,2015-08-03 02:00:00,2015-08-03
2015-08-04 02:00:00,94846,20150804,2,11,CLR, ,10.0, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, ,75, ,6, ,280, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,2,2015-08-04 02:00:00,2015-08-04
2015-08-05 02:00:00,94846,20150805,2,11,SCT250, ,10.0, , , ,63, ,17.2, ,61, ,15.9, ,59, ,15.0, ,87, ,3, ,300, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, ,2,2015-08-05 02:00:00,2015-08-05
2015-08-06 02:00:00,94846,20150806,2,11,OVC300, ,10.0, , , ,66, ,18.9, ,64, ,17.8, ,63, ,17.2, ,90, ,3, ,010, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, ,2,2015-08-06 02:00:00,2015-08-06
2015-08-07 02:00:00,94846,20150807,2,11,SCT150 SCT250, ,10.0, , , ,67, ,19.4, ,65, ,18.0, ,63, ,17.2, ,87, ,6, ,190, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,2,2015-08-07 02:00:00,2015-08-07
2015-08-08 02:00:00,94846,20150808,2,11,BKN030 BKN060, ,10.0, , , ,71, ,21.7, ,65, ,18.5, ,62, ,16.7, ,73, ,7, ,210, , , ,29.15, , , , , ,29.85, ,AA, , , ,29.87, ,2,2015-08-08 02:00:00,2015-08-08
2015-08-09 02:00:00,94846,20150809,2,11,FEW008 OVC200, ,6.0, ,BR, ,67, ,19.4, ,66, ,18.7, ,65, ,18.3, ,93, ,7, ,310, , , ,29.27, , , , , ,29.97, ,AA, , , ,29.99, ,2,2015-08-09 02:00:00,2015-08-09
2015-08-10 02:00:00,94846,20150810,2,11,BKN015 OVC065, ,5.0, ,BR, ,73, ,22.8, ,70, ,20.9, ,68, ,20.0, ,84, ,0, ,000, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, ,2,2015-08-10 02:00:00,2015-08-10
