dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 20:00:00,94846,20150801,20,11,FEW250, ,10.0, , , ,77, ,25.0, ,68, ,20.0, ,63, ,17.2, ,62, ,8, ,240, , , ,29.18, , , , , ,29.88, ,AA, , , ,29.9, ,20,2015-08-01 20:00:00,2015-08-01
2015-08-02 20:00:00,94846,20150802,20,11,FEW045 SCT060 BKN200, ,10.0, , , ,84, ,28.9, ,75, ,23.8, ,71, ,21.7, ,65, ,11, ,230, ,23, ,28.95, , , , , ,29.65, ,AA, , , ,29.67, ,20,2015-08-02 20:00:00,2015-08-02
2015-08-03 20:00:00,94846,20150803,20,11,FEW070, ,10.0, , , ,70, ,21.1, ,61, ,15.9, ,54, ,12.2, ,57, ,6, ,250, , , ,29.18, , , , , ,29.88, ,AA, , , ,29.9, ,20,2015-08-03 20:00:00,2015-08-03
2015-08-04 20:00:00,94846,20150804,20,11,FEW065 SCT250, ,10.0, , , ,72, ,22.2, ,64, ,17.5, ,58, ,14.4, ,62, ,6, ,VR , , , ,29.31, , , , , ,30.01, ,AA, , , ,30.03, ,20,2015-08-04 20:00:00,2015-08-04
2015-08-05 20:00:00,94846,20150805,20,11,FEW200 OVC250, ,10.0, , , ,71, ,21.7, ,65, ,18.2, ,61, ,16.1, ,71, ,7, ,050, , , ,29.3, , , , , ,30.01, ,AA, , , ,30.02, ,20,2015-08-05 20:00:00,2015-08-05
2015-08-06 20:00:00,94846,20150806,20,11,OVC220, ,10.0, , , ,72, ,22.2, ,65, ,18.4, ,61, ,16.1, ,68, ,8, ,090, , , ,29.21, , , , , ,29.92, ,AA, , , ,29.93, ,20,2015-08-06 20:00:00,2015-08-06
2015-08-07 20:00:00,94846,20150807,20,11,SCT043 SCT110 BKN250, ,10.0, , , ,75, ,23.9, ,66, ,18.7, ,60, ,15.6, ,60, ,8, ,180, , , ,29.15, , , , , ,29.85, ,AA, , , ,29.87, ,20,2015-08-07 20:00:00,2015-08-07
2015-08-08 20:00:00,94846,20150808,20,11,FEW020 BKN140, ,9.0, , , ,69, ,20.6, ,67, ,19.4, ,66, ,18.9, ,90, ,7, ,050, , , ,29.26, , , , , ,29.96, ,AA, , , ,29.98, ,20,2015-08-08 20:00:00,2015-08-08
2015-08-09 20:00:00,94846,20150809,20,11,OVC060, ,10.0, , , ,73, ,22.8, ,70, ,20.9, ,68, ,20.0, ,84, ,7, ,150, , , ,29.21, , , , , ,29.91, ,AA, , , ,29.93, ,20,2015-08-09 20:00:00,2015-08-09
2015-08-10 20:00:00,94846,20150810,20,11,FEW120 FEW250, ,10.0, , , ,70, ,21.1, ,67, ,19.3, ,65, ,18.3, ,84, ,6, ,320, , , ,29.19, , , , , ,29.90, ,AA, , , ,29.91, ,20,2015-08-10 20:00:00,2015-08-10
