dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 12:00:00,94846,20150801,12,11,SCT060 SCT090 SCT130, ,10.0, , , ,86, ,30.0, ,67, ,19.6, ,56, ,13.3, ,36, ,16, ,280, ,23, ,29.22, , , , , ,29.92, ,AA, , , ,29.94, ,12,2015-08-01 12:00:00,2015-08-01
2015-08-02 12:00:00,94846,20150802,12,11,FEW060 FEW250, ,10.0, , , ,90, ,32.2, ,74, ,23.1, ,66, ,18.9, ,45, ,20, ,240, ,33, ,29.03, , , , , ,29.72, ,AA, , , ,29.75, ,12,2015-08-02 12:00:00,2015-08-02
2015-08-03 12:00:00,94846,20150803,12,11,FEW055, ,10.0, , , ,80, ,26.7, ,62, ,16.4, ,48, ,8.9, ,33, ,13, ,310, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, ,12,2015-08-03 12:00:00,2015-08-03
2015-08-04 12:00:00,94846,20150804,12,11,FEW060 BKN250, ,10.0, , , ,81, ,27.2, ,64, ,17.6, ,52, ,11.1, ,37, ,16, ,280, ,22, ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,12,2015-08-04 12:00:00,2015-08-04
2015-08-05 12:00:00,94846,20150805,12,11,FEW065 BKN250, ,10.0, , , ,81, ,27.2, ,65, ,18.4, ,55, ,12.8, ,41, ,10, ,060, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, ,12,2015-08-05 12:00:00,2015-08-05
2015-08-06 12:00:00,94846,20150806,12,11,SCT050 SCT250, ,10.0, , , ,81, ,27.2, ,67, ,19.2, ,58, ,14.4, ,46, ,6, ,VR , ,16, ,29.23, , , , , ,29.94, ,AA, , , ,29.95, ,12,2015-08-06 12:00:00,2015-08-06
2015-08-07 12:00:00,94846,20150807,12,11,FEW050 SCT130 BKN250, ,10.0, , , ,81, ,27.2, ,66, ,18.9, ,57, ,13.9, ,44, ,10, ,190, ,20, ,29.17, , , , , ,29.88, ,AA, , , ,29.89, ,12,2015-08-07 12:00:00,2015-08-07
2015-08-08 12:00:00,94846,20150808,12,11,FEW030 SCT150 BKN200, ,10.0, , , ,80, ,26.7, ,70, ,20.8, ,64, ,17.8, ,58, ,8, ,350, , , ,29.21, , , , , ,29.92, ,AA, , , ,29.93, ,12,2015-08-08 12:00:00,2015-08-08
2015-08-09 12:00:00,94846,20150809,12,11,FEW050 BKN065 BKN120, ,10.0, , , ,80, ,26.7, ,71, ,21.5, ,66, ,18.9, ,62, ,8, ,120, , , ,29.21, , , , , ,29.92, ,AA, , , ,29.93, ,12,2015-08-09 12:00:00,2015-08-09
2015-08-10 12:00:00,94846,20150810,12,11,SCT049 BKN070 BKN100, ,10.0, ,-RA, ,76, ,24.4, ,72, ,22.2, ,70, ,21.1, ,82, ,14, ,310, , , ,29.14, , , , , ,29.84, ,AA, ,  T, ,29.86, ,12,2015-08-10 12:00:00,2015-08-10
2015-08-11 12:00:00,94846,20150811,12,11,FEW044 SCT080, ,10.0, , , ,80, ,26.7, ,67, ,19.6, ,60, ,15.6, ,51, ,8, ,040, , , ,29.34, , , , , ,30.04, ,AA, , , ,30.06, ,12,2015-08-11 12:00:00,2015-08-11
2015-08-12 12:00:00,94846,20150812,12,11,SCT041, ,10.0, , , ,78, ,25.6, ,67, ,19.2, ,60, ,15.6, ,54, ,9, ,020, , , ,29.42, , , , , ,30.14, ,AA, , , ,30.15, ,12,2015-08-12 12:00:00,2015-08-12
2015-08-13 12:00:00,94846,20150813,12,11,BKN150 BKN300, ,10.0, , , ,83, ,28.3, ,69, ,20.5, ,61, ,16.1, ,48, ,14, ,250, ,22, ,29.36, , , , , ,30.07, ,AA, , , ,30.08, ,12,2015-08-13 12:00:00,2015-08-13
2015-08-14 12:00:00,94846,20150814,12,11,BKN170, ,10.0, , , ,85, ,29.4, ,74, ,23.3, ,69, ,20.6, ,59, ,8, ,260, , , ,29.37, , , , , ,30.08, ,AA, , , ,30.09, ,12,2015-08-14 12:00:00,2015-08-14
2015-08-15 12:00:00,94846,20150815,12,11,SCT037 BKN048, ,10.0, , , ,88, ,31.1, ,76, ,24.1, ,70, ,21.1, ,55, ,8, ,220, , , ,29.36, , , , , ,30.06, ,AA, , , ,30.08, ,12,2015-08-15 12:00:00,2015-08-15
2015-08-16 12:00:00,94846,20150816,12,11,SCT049 SCT060, ,10.0, , , ,88, ,31.1, ,74, ,23.1, ,67, ,19.4, ,50, ,10, ,220, , , ,29.35, , , , , ,30.06, ,AA, , , ,30.07, ,12,2015-08-16 12:00:00,2015-08-16
2015-08-17 12:00:00,94846,20150817,12,11,SCT040 BKN050 BKN110, ,10.0, , , ,87, ,30.6, ,72, ,22.0, ,64, ,17.8, ,46, ,10, ,260, , , ,29.26, , , , , ,29.96, ,AA, ,  T, ,29.98, ,12,2015-08-17 12:00:00,2015-08-17
2015-08-18 12:00:00,94846,20150818,12,11,SCT036 BKN250, ,10.0, , , ,79, ,26.1, ,70, ,21.3, ,66, ,18.9, ,65, ,8, ,200, , , ,29.1, , , , , ,29.80, ,AA, , , ,29.82, ,12,2015-08-18 12:00:00,2015-08-18
2015-08-19 12:00:00,94846,20150819,12,11,FEW040 FEW200 SCT250, ,10.0, , , ,75, ,23.9, ,63, ,16.9, ,54, ,12.2, ,48, ,17, ,200, ,26, ,28.99, , , , , ,29.70, ,AA, , , ,29.71, ,12,2015-08-19 12:00:00,2015-08-19
2015-08-20 12:00:00,94846,20150820,12,11,BKN049, ,10.0, , , ,70, ,21.1, ,58, ,14.5, ,49, ,9.4, ,47, ,16, ,280, ,32, ,29.17, , , , , ,29.88, ,AA, , , ,29.89, ,12,2015-08-20 12:00:00,2015-08-20
2015-08-21 12:00:00,94846,20150821,12,11,FEW065, ,10.0, , , ,81, ,27.2, ,66, ,18.9, ,57, ,13.9, ,44, ,11, ,190, ,18, ,29.35, , , , , ,30.06, ,AA, , , ,30.07, ,12,2015-08-21 12:00:00,2015-08-21
2015-08-22 12:00:00,94846,20150822,12,11,FEW080 BKN250, ,10.0, , , ,80, ,26.7, ,64, ,17.7, ,53, ,11.7, ,39, ,22, ,150, ,28, ,29.35, , , , , ,30.06, ,AA, , , ,30.07, ,12,2015-08-22 12:00:00,2015-08-22
2015-08-23 12:00:00,94846,20150823,12,11,FEW035 FEW090, ,10.0, , , ,76, ,24.4, ,63, ,17.4, ,55, ,12.8, ,48, ,16, ,280, ,24, ,29.12, , , , , ,29.82, ,AA, , , ,29.84, ,12,2015-08-23 12:00:00,2015-08-23
2015-08-24 12:00:00,94846,20150824,12,11,SCT055, ,10.0, , , ,74, ,23.3, ,58, ,14.4, ,45, ,7.2, ,36, ,22, ,280, ,34, ,29.18, , , , , ,29.89, ,AA, , , ,29.9, ,12,2015-08-24 12:00:00,2015-08-24
